rank_abs,feature,correlation,abs_correlation,r_squared,slope_status_on_feature,intercept,p_value,mean,sd
145,axisConc_D_L1,0.18828156700845278,0.18828156700845278,0.03544994847515849,3627.6893410600705,1.2447688274926028,0.00015200127472296895,7.035640279848619e-05,5.8100018343857774e-05
146,ampEntropy_D_L6,0.1871345721742458,0.1871345721742458,0.035019348102838015,7.6852641048126165,-4.757974445033869,0.0001670266938935576,0.8142822887654623,0.02725798739106411
147,corr_RG,0.18357578717068854,0.18357578717068854,0.033700069635337934,5.5744991292514445,-3.7338990584195093,0.00022298439552615883,0.9389003275568415,0.0368644790877958
148,axisMean_j_V_L2,-0.18212409405658547,0.18212409405658547,0.03316918563593199,-977.8473271773323,1.4778208888317923,0.0002504957366482251,-2.268156853506996e-05,0.00020849464538210105
149,ampStd_H_L3,0.1766648379894192,0.1766648379894192,0.031210464981827734,2.84729727683305,0.9142378608891025,0.00038493496022544036,0.2057256696998005,0.06945697437806829
150,ampStd_V_L4,0.17652531331806212,0.17652531331806212,0.03116118624204,1.3390722670558508,0.760151666508509,0.0003891217175887673,0.5525081444022117,0.14757117310429643
151,p_H_L3,-0.17090507636295152,0.17090507636295152,0.029208545126626292,-2.5301576364510323,2.520806638399737,0.0005976188146861167,0.4034557466670688,0.07561464841007852
152,A_HV_L3,-0.169480640670628,0.169480640670628,0.02872368756212653,-1.0851153200545587,1.4240537478206012,0.0006648956741423253,-0.06998910694172142,0.1748407884649559
153,ampStd_V_L5,0.1679531071413902,0.1679531071413902,0.028208246198447293,0.7543209026004728,0.7166780824932273,0.000744790806355419,1.0384465216412813,0.24924729551685265
154,axisConc_H_L3,-0.16692199719144885,0.16692199719144885,0.027862953146382055,-1336.2352400622028,1.835628322618889,0.000803646640145663,0.0002511745780655098,0.00013983928849130753
155,p_V_L3,0.16650623619862173,0.16650623619862173,0.02772432669303121,2.3373823105622504,0.4133157913878025,0.0008285721526040184,0.46491504778728254,0.07974423667385146
156,ampStd_D_L3,0.16638243160693494,0.16638243160693494,0.027683113547436383,4.05611068529492,1.0600845686340714,0.0008361313313778859,0.10845745234734448,0.04591940199197681
157,orientEntropy_L4,0.16603615655975568,0.16603615655975568,0.0275680052851357,5.496855525110854,-3.5203503587808394,0.0008576136678594135,0.913313136182453,0.033813249068920734
